cle	texte
log.signature_enemy_prepare_element	Élément actif : {element}.
log.signature_feint_mitigates	La feinte atténue {signature} : son effet direct est annulé.
log.signature_feint_partly_mitigates	La feinte dévie une partie de {signature}.
log.signature_effect_summary	{signature} de {creature} : {effects}.
log.signature_effect_fire_damage	{damage} dégâts à {target}
log.signature_effect_water_pa	-{ap} PA au prochain tour de {target}
log.signature_effect_wind_break	-{guard} Garde à {target}, {damage} dégâts de rupture
log.signature_effect_burn	Brûlure
log.signature_effect_paralysis	Paralysie
log.signature_effect_exposed	Blessure
log.signature_effect_utility_pa	+{gain} PA pour {creature}
log.signature_effect_none	aucun effet direct
log.enemy_status_paralysis_blocks	Paralysie gêne {creature} qui ne peut plus agir !
log.capture_success	Capture réussie ! {creature} rejoint votre équipe.
log.capture_success_alt_1	La lumière se referme : {creature} rejoint vos rangs !
log.capture_success_alt_2	Dans un dernier éclat, {creature} cède : il est désormais vôtre !
log.capture_success_alt_3	Le filet tient bon — {creature} est capturé et rejoint votre équipe !
log.scene_open.feu	{creature} crépite, des braises dansant autour de lui.
log.scene_open.feu_alt_1	{creature} rugit, prêt à mordre.
log.scene_open.eau	{creature} ondule lentement, méfiant.
log.scene_open.eau_alt_1	{creature} vous jauge, impassible comme une eau dormante.
log.scene_open.vent	{creature} tournoie, insaisissable.
log.scene_open.vent_alt_1	{creature} frémit dans la brise, sur le qui-vive.
log.scene_open.utilitaire	{creature} vous observe, curieux et imprévisible.
log.scene_open.utilitaire_alt_1	{creature} se tient prêt, l'œil vif.
log.connector.enemy_hit	En réponse, 
log.connector.enemy_hit_alt_1	Sans hésiter, 
log.connector.enemy_hit_alt_2	Pas question de reculer — 
log.connector.enemy_hit.miss	Mais 
log.connector.enemy_hit.miss_alt_1	Dans la confusion, 
log.connector.enemy_missed	Saisissant l'ouverture, 
log.connector.enemy_missed_alt_1	Profitant de l'esquive, 
log.connector.enemy_missed.miss	Malheureusement, 
log.connector.enemy_missed.miss_alt_1	Mais 
log.connector.hero_hit	Dans la foulée, 
log.connector.hero_hit_alt_1	Sur votre lancée, 
log.connector.hero_hit.enemy_action	Malgré votre attaque, 
log.connector.hero_hit.enemy_action_alt_1	Sur sa lancée, 
log.connector.hero_hit.miss	Mais 
log.connector.hero_hit.miss_alt_1	Malheureusement, 
log.connector.hero_guarded	Derrière votre garde, 
log.connector.hero_guarded_alt_1	Imperturbable, 
log.connector.hero_guarded_alt_2	Protégé par votre bouclier, 
log.capture_success_with_affix	Capture réussie ! {creature} rejoint votre équipe et vous donne {affix} {level}.
log.rewards_granted	Vous avez remporté {stars} étoiles et {gold} pièces d'or !
log.creature_level_up	{creature} atteint le niveau {level} !
log.rewards_xp_granted	Vos étoiles forment {xp} XP supplémentaire.
log.capture_fail	La tentative échoue…
log.capture_fail_alt_1	{creature} se débat et brise le filet !
log.capture_fail_alt_2	Presque… mais {creature} se libère d'un sursaut. 
log.capture_fail_alt_3	Le filet vacille puis cède : {creature} vous échappe.
log.enemy_flees	{creature} n'a plus assez de force pour continuer et prend la fuite. La chasse s'arrête.
log.human_victory	{opponent} cède le terrain. {IlElle} est vaincu{accordE}.
log.marked_attack	Préparez-vous : {creature} prépare {action} pour son prochain tour…
log.marked_attack_vague_secret	{creature} prépare une attaque dont {ilElle} a le secret !
log.marked_attack_vague_hidden	{creature} dissimule ses intentions derrière un mouvement difficile à lire…
log.marked_attack_vague_unreadable	{creature} prépare quelque chose, mais vous ne parvenez pas à lire son prochain coup.
log.enemy_action	{creature} utilise {action}{critical}.
log.enemy_action.low	Affaibli par vos coups précédents, {creature} utilise {action}{critical}.
log.enemy_action.low_alt_1	{creature} — blessé et vacillant — déchaîne {action}{critical}.
log.enemy_action.critical	À bout de forces, {creature} tente {action}{critical} en désespoir de cause.
log.enemy_action.critical_alt_1	{creature} rassemble ses dernières forces et lance {action}{critical} !
log.enemy_miss	{creature} utilise {action}, mais manque sa cible.
log.enemy_no_pa	{creature} n'a plus assez de PA pour agir.
log.enemy_holds_pa	{creature} conserve ses PA et vous observe.
log.enemy_critical_suffix	 critique
log.enemy_protection	{creature} utilise {action} et gagne {guard} garde.
log.enemy_guard_absorb	La garde de {creature} absorbe {blocked} dégâts.
log.parried_burning_horns	Votre garde pare Cornes ardentes.
log.enemy_charge	{creature} libère sa charge !
log.ember_breath	Le souffle de braise vous force à reculer : -1 PA au prochain tour.
log.enemy_claw	{creature} frappe avec ses cornes embrasées !
log.shield_absorb	Le bouclier absorbe {blocked} dégâts.
log.hero_damage	Vous subissez {damage} dégâts.
log.enemy_status_burn_applied	{action} vous embrase : Brûlure infligera {damage} dégâts au début de chaque tour.
log.enemy_status_paralysis_applied	{action} vous paralyse : {chance}% de chance de bloquer une action chaque tour.
log.enemy_status_exposed_applied	{action} vous inflige Blessure : -{guard} garde au début de chaque tour.
log.enemy_art_status_through_feint	Malgré la feinte de {hero}, l'art de {creature} parvient à infliger {status} !
log.player_art_status_through_feint	Malgré la feinte de {creature}, l'art de {hero} parvient à infliger {status} !
log.hero_status_burn_damage	Brûlure vous inflige {damage} dégâts.
log.hero_status_paralysis_blocks	La Paralysie bloque {action} pour ce tour.
log.hero_status_exposed_guard_loss	Blessure vous fait perdre {guard} garde et {damage} dégâts de rupture.
log.status_exposed_guard_loss	Blessure fait perdre {guard} garde à {creature} et lui inflige {damage} dégâts de rupture.
log.item_potion_100	La potion régénère votre santé !
log.item_potion_50	La potion restaure une partie de votre santé !
log.item_antipara	Antipara vous soigne de la paralysie !
log.item_pommade	Pommade vous guérit de la brûlure !
log.item_attelle	Bandage retire le statut Blessure !
log.affix_burn_applied	L'Instinct de braise embrase {creature} : Brûlure légère infligera {damage} dégâts par tour.
log.enemy_affix_burn_applied	L'Instinct de braise de {creature} vous embrase : Brûlure infligera {damage} dégâts par tour.
log.affix_burning_hunt_ready	L'Instinct de chasse ardente facilite la capture de {creature} !
log.status_burn_damage	Brûlure légère inflige {damage} dégâts à {creature}.
log.defeat	Défaite : le fawna s'échappe, mais les indices observés sont conservés.
log.human_defeat	Défaite : vous perdez le duel.
